id;descricao;severidade;status;linhas_avaliadas;violacoes;pct_violacoes;exemplos;detalhe
C11-qtd_feridos_graves;'qtd_feridos_graves' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-qtd_feridos_graves;'qtd_feridos_graves' e inteiro, sem parte fracionaria.;critico;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-qtd_feridos_graves;'qtd_feridos_graves' dentro de [0, None].;critico;PASSOU;72529;0;0.0;;
C10-qtd_feridos;'qtd_feridos' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-qtd_feridos;'qtd_feridos' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-qtd_feridos;'qtd_feridos' e inteiro, sem parte fracionaria.;critico;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-qtd_feridos;'qtd_feridos' dentro de [0, None].;critico;PASSOU;72529;0;0.0;;
C10-qtd_mortos;'qtd_mortos' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-qtd_mortos;'qtd_mortos' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-qtd_mortos;'qtd_mortos' e inteiro, sem parte fracionaria.;critico;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-qtd_mortos;'qtd_mortos' dentro de [0, None].;critico;PASSOU;72529;0;0.0;;
C10-qtd_estado_fisico_nao_informado;'qtd_estado_fisico_nao_informado' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-qtd_estado_fisico_nao_informado;'qtd_estado_fisico_nao_informado' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-qtd_estado_fisico_nao_informado;'qtd_estado_fisico_nao_informado' e inteiro, sem parte fracionaria.;critico;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-qtd_estado_fisico_nao_informado;'qtd_estado_fisico_nao_informado' dentro de [0, None].;critico;PASSOU;72529;0;0.0;;
C10-qtd_veiculos;'qtd_veiculos' nao pode ficar vazia.;aviso;PASSOU;72529;0;0.0;;
C11-qtd_veiculos;'qtd_veiculos' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-qtd_veiculos;'qtd_veiculos' e inteiro, sem parte fracionaria.;aviso;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-qtd_veiculos;'qtd_veiculos' dentro de [0, None].;aviso;PASSOU;72529;0;0.0;;
C10-qtd_causas_distintas;'qtd_causas_distintas' nao pode ficar vazia.;aviso;PASSOU;72529;0;0.0;;
C11-qtd_causas_distintas;'qtd_causas_distintas' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-qtd_causas_distintas;'qtd_causas_distintas' e inteiro, sem parte fracionaria.;aviso;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-qtd_causas_distintas;'qtd_causas_distintas' dentro de [1, None].;aviso;PASSOU;72529;0;0.0;;
C10-qtd_tipos_distintos;'qtd_tipos_distintos' nao pode ficar vazia.;aviso;PASSOU;72529;0;0.0;;
C11-qtd_tipos_distintos;'qtd_tipos_distintos' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C30-qtd_tipos_distintos;'qtd_tipos_distintos' e inteiro, sem parte fracionaria.;aviso;PASSOU;72529;0;0.0;;valores como '3,0' ou '3.0' sao violacao
C40-qtd_tipos_distintos;'qtd_tipos_distintos' dentro de [1, None].;aviso;PASSOU;72529;0;0.0;;
C10-causa_principal_acidente;'causa_principal_acidente' aceita ausencia (politica do contrato).;informativo;PASSOU;72529;0;0.0;;0 celulas vazias, permitidas
C11-causa_principal_acidente;'causa_principal_acidente' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C10-tipo_acidente_principal;'tipo_acidente_principal' aceita ausencia (politica do contrato).;informativo;PASSOU;72529;0;0.0;;0 celulas vazias, permitidas
C11-tipo_acidente_principal;'tipo_acidente_principal' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C10-alvo_ausente;'alvo_ausente' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-alvo_ausente;'alvo_ausente' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C50-alvo_ausente;'alvo_ausente' usa apenas as categorias do contrato.;critico;PASSOU;72529;0;0.0;;"origem da regra: derivado; dominio: ['Sim', 'Não']"
C10-elegivel_modelo;'elegivel_modelo' nao pode ficar vazia.;critico;PASSOU;72529;0;0.0;;
C11-elegivel_modelo;'elegivel_modelo' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C50-elegivel_modelo;'elegivel_modelo' usa apenas as categorias do contrato.;critico;PASSOU;72529;0;0.0;;"origem da regra: derivado; dominio: ['Sim', 'Não']"
C10-motivo_inelegibilidade;'motivo_inelegibilidade' aceita ausencia (politica do contrato).;informativo;PASSOU;72529;72528;99.998621;;72528 celulas vazias, permitidas
C11-motivo_inelegibilidade;'motivo_inelegibilidade' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
C10-entradas_ausentes;'entradas_ausentes' aceita ausencia (politica do contrato).;informativo;PASSOU;72529;71529;98.621241;;71529 celulas vazias, permitidas
C11-entradas_ausentes;'entradas_ausentes' sem espaco no inicio ou no fim.;aviso;PASSOU;72529;0;0.0;;
T201;data_inversa e uma data real no formato canonico aaaa-mm-dd.;critico;PASSOU;72529;0;0.0;;detecta formato errado E datas impossiveis como 2025-02-30
T202;data_inversa dentro do periodo declarado ['2025-01-01', '2025-12-31'].;critico;PASSOU;72529;0;0.0;;
T203;data_inversa nao esta no futuro.;aviso;PASSOU;72529;0;0.0;;
T204;horario e hora possivel no formato canonico HH:MM:SS.;critico;PASSOU;72529;0;0.0;;
X301;qtd_pessoas deve ser igual a soma de ilesos, feridos leves, feridos graves, mortos e estado fisico nao informado.;critico;PASSOU;72529;0;0.0;;
X302;qtd_feridos deve ser igual a qtd_feridos_leves + qtd_feridos_graves.;critico;PASSOU;72529;0;0.0;;
X303;Quando classificacao_acidente = 'Sem Vitimas', qtd_feridos e qtd_mortos devem ser 0.;critico;PASSOU;72529;0;0.0;;
X304;Quando classificacao_acidente = 'Com Vitimas Fatais', qtd_mortos deve ser >= 1.;critico;PASSOU;72529;0;0.0;;
X305;Quando classificacao_acidente = 'Com Vitimas Feridas', qtd_feridos deve ser >= 1 e qtd_mortos deve ser 0.;critico;PASSOU;72529;0;0.0;;
X306;fim_de_semana = 'Sim' exatamente quando dia_semana_calculado e Sabado ou Domingo.;critico;PASSOU;72529;0;0.0;;
X307;ano e mes devem corresponder a data_inversa.;critico;PASSOU;72529;0;0.0;;
X309;dia_semana_calculado deve corresponder ao dia da semana de data_inversa.;critico;PASSOU;72529;0;0.0;;
X308a;hora corresponde a hora cheia de horario.;critico;PASSOU;72529;0;0.0;;
X308b;faixa_horaria respeita os limites do contrato ({'Madrugada': '00:00:00 a 05:59:59', 'Manha': '06:00:00 a 11:59:59', 'Tarde': '12:00:00 a 17:59:59', 'Noite': '18:00:00 a 23:59:59'}).;critico;PASSOU;72529;0;0.0;;
X310;alvo_ausente = 'Sim' exatamente quando classificacao_acidente esta vazia.;critico;PASSOU;72529;0;0.0;;
X311;elegivel_modelo deve ser 'Nao' sempre que alvo_ausente = 'Sim'.;critico;PASSOU;72529;0;0.0;;
